fra;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
FR;2021-02-18-2021-02-24;0;102123;58.6;53835;52.7;5013;4.9;8798;8.6;34477;33.8
FR;2021-02-19-2021-02-25;0;103561;59.1;56207;54.3;5153;5;8954;8.6;33247;32.1
FR;2021-02-20-2021-02-26;0;104158;59.4;58225;55.9;5478;5.3;8777;8.4;31678;30.4
FR;2021-02-21-2021-02-27;0;104551;59.5;59172;56.6;5637;5.4;8806;8.4;30936;29.6
FR;2021-02-22-2021-02-28;0;104613;59.5;59341;56.7;5664;5.4;8778;8.4;30830;29.5
FR;2021-02-23-2021-03-01;0;104618;60;61667;58.9;5801;5.5;8610;8.2;28540;27.3
FR;2021-02-24-2021-03-02;0;104071;59.9;63076;60.6;5621;5.4;8589;8.3;26785;25.7
FR;2021-02-25-2021-03-03;0;103368;59.7;64192;62.1;5472;5.3;8585;8.3;25119;24.3
FR;2021-02-26-2021-03-04;0;102792;59.6;65303;63.5;5358;5.2;8566;8.3;23565;22.9
FR;2021-02-27-2021-03-05;0;102559;59.5;66553;64.9;5093;5;8732;8.5;22181;21.6
FR;2021-02-28-2021-03-06;0;102822;59.3;67566;65.7;4998;4.9;8786;8.5;21472;20.9
FR;2021-03-01-2021-03-07;0;102672;59.3;67699;65.9;4962;4.8;8716;8.5;21295;20.7
FR;2021-03-02-2021-03-08;0;103109;59.1;69588;67.5;4825;4.7;8998;8.7;19698;19.1
FR;2021-03-03-2021-03-09;0;103544;58.9;70763;68.3;4873;4.7;9168;8.9;18740;18.1
FR;2021-03-04-2021-03-10;0;104003;58.3;72011;69.2;5035;4.8;9273;8.9;17684;17
